id_feed;code_feed;media_name;language;country;media_code;type_feed;periodicity;url_media;url_feed;date_first_item;active_feed;date_last_item
4445708;pt_BRA_google_int;Google News Brésil;pt;BRA;google;International;autre;http://news.google.com.br;http://news.google.com.br/news?pz=1&cf=all&ned=pt-BR_br&hl=pt&topic=w&output=rss;26/01/2015;t;
4265111;en_USA_google_une;Google News Etats-unis;en;USA;google;Une;autre;http://news.google.com;http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&output=rss;12/01/2015;t;
4265135;en_USA_google_nat;Google News Etats-unis;en;USA;google;National;autre;http://news.google.com;http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&topic=n&output=rss;12/01/2015;t;
4265123;en_USA_google_int;Google News Etats-unis;en;USA;google;International;autre;http://news.google.com;http://news.google.com/news?pz=1&cf=all&ned=us&hl=en&topic=w&output=rss;12/01/2015;t;
4264988;fr_FRA_google_nat;Google News France;fr;FRA;google;National;autre;http://news.google.fr/;http://news.google.fr/news?pz=1&cf=all&ned=fr&hl=fr&topic=n&output=rss;12/01/2015;t;
4264976;fr_FRA_google_int;Google News France;fr;FRA;google;International;autre;http://news.google.fr/;http://news.google.fr/news?pz=1&cf=all&ned=fr&hl=fr&topic=w&output=rss;12/01/2015;t;
4264964;fr_FRA_google_une;Google News France;fr;FRA;google;Une;autre;http://news.google.fr/;http://news.google.fr/news?pz=1&cf=all&ned=fr&hl=fr&output=rss;12/01/2015;t;
4265227;en_IND_google_une;Google News Inde;en;IND;google;Une;autre;http://news.google.co.in;http://news.google.co.in/news?pz=1&cf=all&ned=in&hl=en&output=rss;12/01/2015;t;
4265251;en_IND_google_nat;Google News Inde;en;IND;google;National;autre;http://news.google.co.in;http://news.google.co.in/news?pz=1&cf=all&ned=in&hl=en&topic=n&output=rss;12/01/2015;t;
4265239;en_IND_google_int;Google News Inde;en;IND;google;International;autre;http://news.google.co.in;http://news.google.co.in/news?pz=1&cf=all&ned=in&hl=en&topic=w&output=rss;12/01/2015;t;
4265024;it_ITA_google_nat;Google News Italy;it;ITA;google;National;autre;http://news.google.it;http://news.google.it/news?pz=1&cf=all&ned=it&hl=it&topic=n&output=rss;12/01/2015;t;
4265012;it_ITA_google_int;Google News Italy;it;ITA;google;International;autre;http://news.google.it;http://news.google.it/news?pz=1&cf=all&ned=it&hl=it&topic=w&output=rss;12/01/2015;t;
4265000;it_ITA_google_une;Google News Italy;it;ITA;google;Une;autre;http://news.google.it;http://news.google.it/news?pz=1&cf=all&ned=it&hl=it&output=rss;12/01/2015;t;
4265410;fr_MAR_google_int;Google News Maroc;fr;MAR;google;International;autre;http://news.google.co.ma;http://news.google.co.ma/news?pz=1&cf=all&ned=fr_ma&hl=fr&topic=w&output=rss;12/01/2015;t;
4265398;fr_MAR_google_une;Google News Maroc;fr;MAR;google;Une;autre;http://news.google.co.ma;http://news.google.co.ma/news?pz=1&cf=all&ned=fr_ma&hl=fr&output=rss;12/01/2015;t;
4265424;fr_MAR_google_nat;Google News Maroc;fr;MAR;google;National;autre;http://news.google.co.ma;http://news.google.co.ma/news?pz=1&cf=all&ned=fr_ma&hl=fr&topic=n&output=rss;12/01/2015;t;
4265185;es_MEX_google_une;Google News Mexique;es;MEX;google;Une;autre;http://news.google.com.mx;http://news.google.com.mx/news?pz=1&cf=all&ned=es_mx&hl=es&output=rss;12/01/2015;t;
4265209;es_MEX_google_nat;Google News Mexique;es;MEX;google;National;autre;http://news.google.com.mx;http://news.google.com.mx/news?pz=1&cf=all&ned=es_mx&hl=es&topic=n&output=rss;12/01/2015;t;
4265197;es_MEX_google_int;Google News Mexique;es;MEX;google;International;autre;http://news.google.com.mx;http://news.google.com.mx/news?pz=1&cf=all&ned=es_mx&hl=es&topic=w&output=rss;12/01/2015;t;
4265756;en_NGA_google_nat;Google News Nigéria;en;NGA;google;National;autre;http://news.google.com.ng;http://news.google.com.ng/news?pz=1&cf=all&ned=en_ng&hl=en&topic=n&output=rss;12/01/2015;t;
4265736;en_NGA_google_int;Google News Nigéria;en;NGA;google;International;autre;http://news.google.com.ng;http://news.google.com.ng/news?pz=1&cf=all&ned=en_ng&hl=en&topic=w&output=rss;12/01/2015;t;
4265721;en_NGA_google_une;Google News Nigéria;en;NGA;google;Une;autre;http://news.google.com.ng;http://news.google.com.ng/news?pz=1&cf=all&ned=en_ng&hl=en&output=rss;12/01/2015;t;
4265675;en_UGA_google_nat;Google News Ouganda;en;UGA;google;National;autre;http://news.google.co.ug;http://news.google.co.ug/news?pz=1&cf=all&ned=ug&hl=en&topic=n&output=rss;12/01/2015;t;
4265537;en_UGA_google_une;Google News Ouganda;en;UGA;google;Une;autre;http://news.google.co.ug;http://news.google.co.ug/news?pz=1&cf=all&ned=ug&hl=en&output=rss;12/01/2015;t;
4265627;en_UGA_google_int;Google News Ouganda;en;UGA;google;International;autre;http://news.google.co.ug;http://news.google.co.ug/news?pz=1&cf=all&ned=ug&hl=en&topic=w&output=rss;12/01/2015;t;
4265385;en_PAK_google_nat;Google News Pakistan;en;PAK;google;National;autre;http://news.google.com.pk;http://news.google.com.pk/news?pz=1&cf=all&ned=en_pk&hl=en&topic=n&output=rss;12/01/2015;t;
4265314;en_PAK_google_une;Google News Pakistan;en;PAK;google;Une;autre;http://news.google.com.pk;http://news.google.com.pk/news?pz=1&cf=all&ned=en_pk&hl=en&output=rss;12/01/2015;t;
4265369;en_PAK_google_int;Google News Pakistan;en;PAK;google;International;autre;http://news.google.com.pk;http://news.google.com.pk/news?pz=1&cf=all&ned=en_pk&hl=en&topic=w&output=rss;12/01/2015;t;
4265287;en_PHL_google_nat;Google News Philippines;en;PHL;google;National;autre;http://news.google.com.ph;http://news.google.com.ph/news?pz=1&cf=all&ned=en_ph&hl=en&topic=n&output=rss;12/01/2015;t;
4265263;en_PHL_google_une;Google News Philippines;en;PHL;google;Une;autre;http://news.google.com.ph;http://news.google.com.ph/news?pz=1&cf=all&ned=en_ph&hl=en&output=rss;12/01/2015;t;
4265275;en_PHL_google_int;Google News Philippines;en;PHL;google;International;autre;http://news.google.com.ph;http://news.google.com.ph/news?pz=1&cf=all&ned=en_ph&hl=en&topic=w&output=rss;12/01/2015;t;
4265061;en_GBR_google_nat;Google News United Kingdom;en;GBR;google;National;autre;http://news.google.co.uk;http://news.google.co.uk/news?pz=1&cf=all&ned=uk&hl=en&topic=n&output=rss;12/01/2015;t;
4265037;en_GBR_google_une;Google News United Kingdom;en;GBR;google;Une;autre;http://news.google.co.uk;http://news.google.co.uk/news?pz=1&cf=all&ned=uk&hl=en&output=rss;12/01/2015;t;
4265049;en_GBR_google_int;Google News United Kingdom;en;GBR;google;International;autre;http://news.google.co.uk;http://news.google.co.uk/news?pz=1&cf=all&ned=uk&hl=en&topic=w&output=rss;12/01/2015;t;
17336;en_ISR_haretz_une;Haaretz (The Land);en;ISR;haretz;Une;quotidien;http://www.haaretz.com;http://www.haaretz.com/cmlink/1.263335;20/12/2013;t;
17333;en_ISR_haretz_int;Haaretz (The Land);en;ISR;haretz;International;quotidien;http://www.haaretz.com;http://www.haaretz.com/cmlink/1.628765;20/12/2013;t;
1466380;de_DEU_handel_une;Handelsblatt;de;DEU;handel;Une;quotidien;http://www.handelsblatt.de;http://www.handelsblatt.com/contentexport/feed/schlagzeilen;02/05/2014;t;
143;en_AUS_hersun_int;Herald Sun;en;AUS;hersun;International;quotidien;http://www.heraldsun.com.au/;http://feeds.news.com.au/heraldsun/rss/heraldsun_news_worldnews_2793.xml;19/12/2013;t;
144;en_AUS_hersun_brn;Herald Sun;en;AUS;hersun;Breaking news;quotidien;http://www.heraldsun.com.au/;http://feeds.news.com.au/heraldsun/rss/heraldsun_news_breakingnews_2800.xml;19/12/2013;t;
1105418;en_IND_hindti_brn;Hindustan Times;en;IND;hindti;Breaking news;quotidien;http://www.hindustantimes.com/;http://feeds.hindustantimes.com/HT-HomePage-TopStories;18/04/2014;t;
1105401;en_IND_hindti_int;Hindustan Times;en;IND;hindti;International;quotidien;http://www.hindustantimes.com/;http://feeds.hindustantimes.com/HT-World;18/04/2014;t;
51;en_ZMB_indeol_int;iol;en;ZMB;indeol;International;quotidien;http://www.iol.co.za/;http://www.iol.co.za/cmlink/news-world-extended-1.679217;19/12/2013;t;
52;en_ZMB_indeol_une;iol;en;ZMB;indeol;Une;quotidien;http://www.iol.co.za/;http://www.iol.co.za/cmlink/home-page-extended-1.628986;19/12/2013;t;
939283;en_JPN_jatime_brn;Japan Times;en;JPN;jatime;Breaking news;quotidien;http://www.japantimes.co.jp/;http://www.japantimes.co.jp/news/feed/;08/04/2014;t;
939315;en_JPN_jatime_int;Japan Times;en;JPN;jatime;International;quotidien;http://www.japantimes.co.jp/;http://www.japantimes.co.jp/news_category/world/feed/;08/04/2014;t;
17286;en_JOR_jordti_uni;Jordan times;en;JOR;jordti;Unique;quotidien;http://jordantimes.com/;http://feeds.feedburner.com/TheJordanTimes-LatestNews?format=xml;20/12/2013;t;
851749;pt_BRA_jornal_gen;Jornal do Brasil;pt;BRA;jornal;General;quotidien;http://www.jb.com.br/;http://www.jb.com.br/noticias/rss.xml;31/03/2014;t;
851673;pt_BRA_jornal_int;Jornal do Brasil;pt;BRA;jornal;International;quotidien;http://www.jb.com.br/;http://www.jb.com.br/internacional/noticias/rss.xml;31/03/2014;t;
16179;en_ARE_khalej_une;Khaleej Times;en;ARE;khalej;Une;quotidien;http://www.khaleejtimes.com/;http://www.khaleejtimes.com/services/rss/topstories/rss.xml;20/12/2013;f;06/07/2015
16165;en_ARE_khalej_int;Khaleej Times;en;ARE;khalej;International;quotidien;http://www.khaleejtimes.com/;http://www.khaleejtimes.com/services/rss/international/rss.xml;20/12/2013;f;06/07/2015
763659;es_MEX_cronic_int;La cronica de hoy;es;MEX;cronic;International;quotidien;http://www.cronica.com.mx/;http://www.cronica.com.mx/rss/rssSeccion.php?id=3;21/03/2014;t;
756330;es_BOL_lajord_une;La Jordana (Bol);es;BOL;lajord;Une;quotidien;http://www.jornadanet.com;http://www.jornadanet.com/rss/Portada.xml;20/03/2014;t;
756340;es_BOL_lajord_int;La Jordana (Bol);es;BOL;lajord;International;quotidien;http://www.jornadanet.com;http://www.jornadanet.com/rss/Mundo.xml;20/03/2014;t;
763764;es_MEX_jormex_gen;La Jordana (Mex);es;MEX;jormex;General;quotidien;http://www.jornada.unam.mx/;http://www.jornada.unam.mx/rss/edicion.xml;21/03/2014;t;
763910;es_MEX_jormex_int;La Jordana (Mex);es;MEX;jormex;International;quotidien;http://www.jornada.unam.mx/;http://www.jornada.unam.mx/rss/mundo.xml;21/03/2014;t;
763963;es_ARG_nacion_brn;La Nacion;es;ARG;nacion;Breaking news;quotidien;http://www.lanacion.com.ar/;http://contenidos.lanacion.com.ar/herramientas/rss/origen=2;21/03/2014;t;
764015;es_ARG_nacion_int;La Nacion;es;ARG;nacion;International;quotidien;http://www.lanacion.com.ar/;http://contenidos.lanacion.com.ar/herramientas/rss/categoria_id=7;21/03/2014;t;
3453;fr_FRA_nourep_gen;la nouvelle republique;fr;FRA;nourep;General;quotidien;http://www.lanouvellerepublique.fr;http://www.lanouvellerepublique.fr/nr/flux/rss/Toute-zone;19/12/2013;t;
756856;es_BOL_patria_int;La patria;es;BOL;patria;International;quotidien;http://lapatriaenlinea.com;http://lapatriaenlinea.com/rss/Internacional.xml;20/03/2014;t;
765506;es_ARG_prensa_int;La Prensa;es;ARG;prensa;International;quotidien;http://www.laprensa.com.ar/;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=7;21/03/2014;t;
765484;es_ARG_prensa_une;La Prensa;es;ARG;prensa;Une;quotidien;http://www.laprensa.com.ar/;http://www.laprensa.com.ar/ResourcesManager.aspx?Resource=Rss.aspx&Rss=8;21/03/2014;t;
836;es_BOL_larazo_gen;La Razon;es;BOL;larazo;General;quotidien;http://www.la-razon.com/;http://www.la-razon.com/rss/latest/?contentType=NWS;19/12/2013;t;
1037;es_BOL_larazo_int;La Razon;es;BOL;larazo;International;quotidien;http://www.la-razon.com/;http://www.la-razon.com/rss/mundo/;19/12/2013;t;
876094;es_CHL_tercer_gen;La Tercera;es;CHL;tercer;General;quotidien;http://www.latercera.com/;http://www.latercera.com/feed/manager?type=rss&sc=TEFURVJDRVJB&ul=1;02/04/2014;t;
876159;es_CHL_tercer_int;La Tercera;es;CHL;tercer;International;quotidien;http://www.latercera.com/;http://www.latercera.com/feed/manager?type=rss&sc=TEFURVJDRVJB&citId=9&categoryId=678;02/04/2014;t;
765548;es_ARG_vozint_brn;La voz del interior;es;ARG;vozint;Breaking news;quotidien;http://www.lavoz.com.ar/;http://www.lavoz.com.ar/rss.xml;21/03/2014;t;
765600;es_ARG_vozint_int;La voz del interior;es;ARG;vozint;International;quotidien;http://www.lavoz.com.ar/;http://www.lavoz.com.ar/taxonomy/term/5/1/feed;21/03/2014;t;
1225;fr_BFA_lefaso_uni;Le faso;fr;BFA;lefaso;Unique;quotidien;http://www.lefaso.net/;http://www.lefaso.net/spip.php?page=backend;19/12/2013;t;
1757;fr_FRA_figaro_une;Le Figaro;fr;FRA;figaro;Une;quotidien;http://www.lefigaro.fr/;http://rss.lefigaro.fr/lefigaro/laune;19/12/2013;t;
1760;fr_FRA_figaro_int;Le Figaro;fr;FRA;figaro;International;quotidien;http://www.lefigaro.fr/;http://www.lefigaro.fr/rss/figaro_international.xml;19/12/2013;t;
1358;fr_CAN_jmontr_int;Le Journal de Montréal;fr;CAN;jmontr;International;quotidien;http://www.journaldemontreal.com/;http://www.journaldemontreal.com/actualite/monde/rss.xml;19/12/2013;t;
1356;fr_CAN_jmontr_brn;Le Journal de Montréal;fr;CAN;jmontr;Breaking news;quotidien;http://www.journaldemontreal.com/;http://www.journaldemontreal.com/accueil/rss.xml;19/12/2013;t;
63;fr_DZA_lmatin_uni;Le Matin;fr;DZA;lmatin;Unique;quotidien;http://www.lematindz.net/;http://www.lematindz.net/feed/index.1.rss;19/12/2013;t;
16526;fr_MAR_lemati_gen;Le Matin (maroc);fr;MAR;lemati;General;quotidien;http://www.lematin.ma/;http://feeds.feedburner.com/lematin-ma?format=xml;20/12/2013;t;
1646;fr_FRA_lmonde_une;Le Monde;fr;FRA;lmonde;Une;quotidien;http://lemonde.fr;http://www.lemonde.fr/rss/une.xml;04/05/2011;t;
281409;fr_FRA_lmonde_int;Le Monde;fr;FRA;lmonde;International;quotidien;http://lemonde.fr;http://rss.lemonde.fr/c/205/f/3052/index.rss;03/05/2011;t;
10038;fr_FRA_lepari_int;Le Parisien;fr;FRA;lepari;International;quotidien;http://www.leparisien.fr/;http://rss.leparisien.fr/leparisien/rss/international.xml;19/12/2013;t;
1338052;fr_FRA_lepari_gen;Le Parisien;fr;FRA;lepari;General;quotidien;http://www.leparisien.fr/;http://www.leparisien.fr/actualites-a-la-une.rss.xml;22/04/2014;t;
10033;fr_FRA_lepari_une;Le Parisien;fr;FRA;lepari;Une;quotidien;http://www.leparisien.fr/;http://rss.leparisien.fr/leparisien/rss/une.xml;19/12/2013;t;
1247;fr_BFA_lepays_uni;Le pays;fr;BFA;lepays;Unique;quotidien;http://www.lepays.bf;http://lepays.bf/feed/;19/12/2013;t;
16816;fr_LUX_quotid_uni;Le Quotidien;fr;LUX;quotid;Unique;quotidien;http://www.lequotidien.lu;http://www.lequotidien.lu/rss;20/12/2013;t;
162;fr_BEL_lesoir_brn;Le soir;fr;BEL;lesoir;Breaking news;quotidien;http://www.lesoir.be;http://www.lesoir.be/feed/Actualit%C3%A9/Fil%20Info/destination_principale_block;19/12/2013;t;
1338083;fr_BEL_lesoir_une;Le soir;fr;BEL;lesoir;Une;quotidien;http://www.lesoir.be;http://www.lesoir.be/feed/La%20Une/destination_une_block/;22/04/2014;t;
165;fr_BEL_lesoir_int;Le soir;fr;BEL;lesoir;International;quotidien;http://www.lesoir.be;http://www.lesoir.be/feed/Actualit%C3%A9/Monde/destination_principale_block;19/12/2013;t;
1107013;fr_DZA_xpress_brn;L'Expression;fr;DZA;xpress;Breaking news;quotidien;http://www.lexpressiondz.com;http://www.lexpressiondz.com/feed/linformation_en_continue/index.1.rss;18/04/2014;t;
60;fr_DZA_xpress_int;L'Expression;fr;DZA;xpress;International;quotidien;http://www.lexpressiondz.com;http://www.lexpressiondz.com/feed/internationale/index.1.rss;19/12/2013;t;
226699;fr_FRA_libera_int;Libération;fr;FRA;libera;International;quotidien;http://www.liberation.fr/;http://liberation.fr.feedsportal.com/c/32268/fe.ed/rss.liberation.fr/rss/10/;23/01/2014;t;
226696;fr_FRA_libera_une;Libération;fr;FRA;libera;Une;quotidien;http://www.liberation.fr/;http://liberation.fr.feedsportal.com/c/32268/fe.ed/rss.liberation.fr/rss/9/;23/01/2014;t;
1338887;es_BOL_tiempo_brn;Los tiempos;es;BOL;tiempo;Breaking news;quotidien;http://www.lostiempos.com/;http://www.lostiempos.com/rss/lostiempos-ultimas.xml;21/04/2014;t;
744184;es_BOL_tiempo_int;Los tiempos;es;BOL;tiempo;International;quotidien;http://www.lostiempos.com/;http://www.lostiempos.com/rss/lostiempos-internacional.xml;19/03/2014;t;
744175;es_BOL_tiempo_une;Los tiempos;es;BOL;tiempo;Une;quotidien;http://www.lostiempos.com/;http://www.lostiempos.com/rss/lostiempos-titulares.xml;19/03/2014;t;
23398;fr_FRA_metron_une;Metro;fr;FRA;metron;Une;quotidien;http://www.metrofrance.com;http://www.metrofrance.com/rss.xml?c=section-news;23/12/2013;t;
1338889;fr_FRA_metron_brn;Metro;fr;FRA;metron;Breaking news;quotidien;http://www.metrofrance.com;http://www.metronews.fr/rss.xml;22/04/2014;t;
763920;es_MEX_mileni_gen;Milenio;es;MEX;mileni;General;quotidien;http://www.milenio.com/;http://www.milenio.com/rss;21/03/2014;t;
1466474;de_DEU_mittel_gen;Mitteldeutsche Zeitung;de;DEU;mittel;General;quotidien;http://www.mz-web.de/startseite/20639998,20639998.html;http://www.mz-web.de/startseite/20639998,20639998,view,asFeed.xml;02/05/2014;t;
1338918;en_BWA_megiwa_gen;Mmegi wa Digmang;en;BWA;megiwa;General;quotidien;http://www.mmegi.bw;http://www.mmegi.bw/2013_website/widgets/rss/rss.php?wid=1;22/04/2014;t;
927247;en_RUS_moscow_brn;Moscow times;en;RUS;moscow;Breaking news;quotidien;http://www.themoscowtimes.com/;http://www.themoscowtimes.com/rss/news/;07/04/2014;t;
150;en_BHS_nassau_brn;Nassau Guardian;en;BHS;nassau;Breaking news;quotidien;http://www.thenassauguardian.com;http://www.thenassauguardian.com/index.php?option=com_content&view=category&id=3&format=feed&type=rss;19/12/2013;t;
16703;en_MYS_newstr_une;News Straits Times;en;MYS;newstr;Une;quotidien;http://www.nst.com.my;http://www.nst.com.my/cmlink/top-news-feed-1.3086?localLinksEnabled=false;20/12/2013;f;09/06/2014
2667374;en_MYS_newstr_uni;News Straits Times;en;MYS;newstr;Unique;quotidien;http://www.nst.com.my;http://www.nst.com.my/latest.xml;20/08/2014;t;
1339470;en_MYS_newstr_brn;News Straits Times;en;MYS;newstr;Breaking news;quotidien;http://www.nst.com.my;http://www.nst.com.my/cmlink/1.3108;22/04/2014;f;09/06/2014
16243;en_UGA_newvis_int;New Vision;en;UGA;newvis;International;quotidien;http://www.newvision.co.ug;http://www.newvision.co.ug/feed.aspx?cat_id=2;20/12/2013;t;
